INFO 2025-05-11 13:25:55,019 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1746826653.3052757
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/management/color.py first seen with mtime 1746826653.3076072
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/requests/models.py first seen with mtime 1746920160.8802497
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/backends/sqlite3/client.py first seen with mtime 1746826653.3138912
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/constants.py first seen with mtime 1746826653.316218
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1746826653.1725013
DEBUG 2025-05-11 13:25:55,097 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/management/commands/migrate.py first seen with mtime 1746826653.3087316
DEBUG 2025-05-11 13:25:55,097 autoreload File /usr/lib/python3.13/concurrent/futures/__init__.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,097 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/checks/security/csrf.py first seen with mtime 1746826653.3053977
DEBUG 2025-05-11 13:25:55,097 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/urllib3/_version.py first seen with mtime 1746920160.7638314
DEBUG 2025-05-11 13:25:55,097 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1746826653.1721747
DEBUG 2025-05-11 13:25:55,097 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/management/commands/runserver.py first seen with mtime 1746826653.308851
DEBUG 2025-05-11 13:25:55,097 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/admin/sites.py first seen with mtime 1746826653.1256108
DEBUG 2025-05-11 13:25:55,097 autoreload File /usr/lib/python3.13/json/scanner.py first seen with mtime 1744184665.0
